q1,q2,q3,q4,q5,q6
0.0,0.0,0.0,0.0,0.0,0.0
0.0005997911111032624,-0.0013110386456783051,0.0004997116360932575,-0.00017938817934716282,-0.00032201505834490805,0.0006894352593974551
0.007607688017237604,-0.020812361702592642,0.007505837893073494,-0.0029409642223533422,-0.004701996310897666,0.010649127167880615
0.019450091275413077,-0.10024529309917007,0.03140700236785477,-0.015399631687838741,-0.01981195051823227,0.04852115136531166
0.03412797341620552,-0.269721751686708,0.06924607310686404,-0.047640201440236375,-0.05977175186071585,0.12641185049778522
0.0617788943416249,-0.5183193683917884,0.09908839183271426,-0.11138826165403516,-0.14358452755250103,0.2389333713011325
0.11167623014409354,-0.8120620600631175,0.08875984413022903,-0.21454613982637885,-0.2830579812796726,0.3646726726201153
0.19151798336995243,-1.1077344068876447,0.006438824345660654,-0.3496893356100854,-0.48362620113647586,0.4788231256753216
0.30775382307679394,-1.360720124465195,-0.17113793504797872,-0.49773248503677864,-0.7467382120860454,0.5653619268501101
0.4685788367964968,-1.536334125239197,-0.46408373914090933,-0.6392442387587904,-1.068584215893732,0.6163972185301638
0.6839525970028457,-1.6056971915626332,-0.8944150712276647,-0.7582237675731842,-1.4391647100444023,0.62813478928442
